name,ele,latitude,longitude
Regener Berg,712,48.8774949,13.1627798
Aibenberg,722,48.8752087,13.1639707
Ranzinger Vorberg,736,48.8708688,13.142792
Leitenbühl,752,48.8596187,13.1576675
Kleiner Rachelberg,796,48.858687,13.1729936
Schanzenberg,758,48.8558705,13.1968975
Tannenberg,431,48.8711511,12.9491365
Eschbühl,579,48.8368991,13.1924236
Ochsenberg,648,48.7935611,13.2347482
Schlosshügel,381,48.7664862,13.1389403
Eierbühl,402,48.7434201,13.1457424
Hilkeringer Bühl,416,48.760871,13.1853533
Kreuzbühl,439,48.7717331,13.1846935
Eisenberg,562,48.7928143,13.2007599
Hohenburg,608,48.7959029,13.192445
Imkenberg,525,48.7676813,13.2294381
Strachinger Höhe,553,48.7806064,13.2142997
Hummelberg,387,48.7264409,13.2127172
Priefinger Berg,411,48.7252873,13.2473069
Ellerberg,387,48.740774,13.206017
Steinbühl,443,48.746724,13.228215
Gschwendtner Berg,446,48.7080755,13.193475
Forchenhügel,430,48.7127551,13.2179797
Mühlberg,410,48.7255244,13.1481564
Steinhügel,401,48.7302802,13.1564283
Steinriegel,465,48.7110065,13.1695068
Kreuzhügel,354,48.7319645,13.0884933
Sonnenhügel,410,48.7175333,13.1077409
Metzgerhügel,345,48.7295513,13.0767024
Himmelberg,360,48.8581505,12.9000628
Geigenbühl,356,48.8678731,12.8679514
Großer Arber,1456,49.1124718,13.13619
Großer Riedelstein,1132,49.1659,12.9729999
Großer Osser,1293,49.2031833,13.1097845
Kleiner Arber,1384,49.1133011,13.1100722
Rauchröhren,1042,49.1702239,12.9604782
Mittagstein,1034,49.1732347,12.9422827
Kreuzfelsen,999,49.1764528,12.9227995
Kleiner Osser,1266,49.2017348,13.1032394
Silberberg,955,49.0571546,13.1243106
Bärenriegel,1017,49.2401279,12.9264333
Burgstall,976,49.2494248,12.8908193
Eckstein,1073,49.2372852,12.9329665
Hirschenstein,1095,48.9643769,12.8800093
Predigtstuhl,1024,49.0023398,12.8488065
Pröller,1048,49.0219662,12.8211454
Schopf,928,48.9547041,12.8429102
